action,attribute,txGas,blockGas,time
devices.updateDeviceLocation,,6721975,214653,2062
devices.updateDeviceLocation,,6721975,289538,2126
devices.updateDeviceLocation,,6721975,355849,3688
devices.updateDeviceLocation,,6721975,282477,2934
devices.updateDeviceLocation,,6721975,353898,3606
devices.updateDeviceLocation,,6721975,357673,2624
devices.updateDeviceLocation,,6721975,229528,2176
devices.updateDeviceLocation,,6721975,284930,2945
devices.updateDeviceLocation,,6721975,106159,1139
devices.updateDeviceLocation,,6721975,358289,3350
devices.updateDeviceLocation,,6721975,281185,2816
devices.updateDeviceLocation,,6721975,388474,3503
devices.updateDeviceLocation,,6721975,271262,2432
devices.updateDeviceLocation,,6721975,378035,3491
devices.updateDeviceLocation,,6721975,345287,3412
devices.updateDeviceLocation,,6721975,112443,1264
devices.updateDeviceLocation,,6721975,319341,3015
devices.updateDeviceLocation,,6721975,364891,3507
devices.updateDeviceLocation,,6721975,287421,2999
devices.updateDeviceLocation,,6721975,271147,2954
devices.updateDeviceLocation,,6721975,291759,3300
devices.updateDeviceLocation,,6721975,319662,2956
devices.updateDeviceLocation,,6721975,296097,3180
devices.updateDeviceLocation,,6721975,106159,1016
devices.updateDeviceLocation,,6721975,421021,4126
devices.updateDeviceLocation,,6721975,362777,3803
devices.updateDeviceLocation,,6721975,363815,3933
devices.updateDeviceLocation,,6721975,364400,4262
devices.updateDeviceLocation,,6721975,309111,3598
devices.updateDeviceLocation,,6721975,377238,3451
devices.updateDeviceLocation,,6721975,385727,3548
devices.updateDeviceLocation,,6721975,381093,3381
devices.updateDeviceLocation,,6721975,273972,2661
devices.updateDeviceLocation,,6721975,111392,1127
devices.updateDeviceLocation,,6721975,112443,1062
devices.updateDeviceLocation,,6721975,488184,4385
devices.updateDeviceLocation,,6721975,333874,3738
devices.updateDeviceLocation,,6721975,113494,1203
devices.updateDeviceLocation,,6721975,265316,2531
devices.updateDeviceLocation,,6721975,314817,3742
devices.updateDeviceLocation,,6721975,106159,1279
devices.updateDeviceLocation,,6721975,302719,3568
devices.updateDeviceLocation,,6721975,278329,2705
devices.updateDeviceLocation,,6721975,326474,3328
devices.updateDeviceLocation,,6721975,261268,2628
devices.updateDeviceLocation,,6721975,463088,4132
devices.updateDeviceLocation,,6721975,351768,3927
devices.updateDeviceLocation,,6721975,113494,1017
devices.updateDeviceLocation,,6721975,290370,2428
devices.updateDeviceLocation,,6721975,339536,3613
devices.updateDeviceLocation,,6721975,483719,4537
devices.updateDeviceLocation,,6721975,253262,2510
devices.updateDeviceLocation,,6721975,106159,773
devices.updateDeviceLocation,,6721975,434270,3768
devices.updateDeviceLocation,,6721975,106159,1141
devices.updateDeviceLocation,,6721975,343913,3430
devices.updateDeviceLocation,,6721975,334672,3455
devices.updateDeviceLocation,,6721975,106159,1234
devices.updateDeviceLocation,,6721975,348081,3083
devices.updateDeviceLocation,,6721975,350259,2962
devices.updateDeviceLocation,,6721975,112443,1267
devices.updateDeviceLocation,,6721975,366574,3204
devices.updateDeviceLocation,,6721975,308001,3376
devices.updateDeviceLocation,,6721975,352944,3365
devices.updateDeviceLocation,,6721975,286312,3203
devices.updateDeviceLocation,,6721975,277375,2813
devices.updateDeviceLocation,,6721975,333735,3048
devices.updateDeviceLocation,,6721975,304216,3100
devices.updateDeviceLocation,,6721975,106159,1141
devices.updateDeviceLocation,,6721975,374284,4161
devices.updateDeviceLocation,,6721975,295453,3472
devices.updateDeviceLocation,,6721975,294710,3095
devices.updateDeviceLocation,,6721975,351104,4003
devices.updateDeviceLocation,,6721975,439552,3640
devices.updateDeviceLocation,,6721975,355968,3681
devices.updateDeviceLocation,,6721975,356493,3939
devices.updateDeviceLocation,,6721975,362213,4049
devices.updateDeviceLocation,,6721975,441867,4495
devices.updateDeviceLocation,,6721975,106159,1135
devices.updateDeviceLocation,,6721975,352023,3594
devices.updateDeviceLocation,,6721975,114598,1019
devices.updateDeviceLocation,,6721975,368928,3240
devices.updateDeviceLocation,,6721975,332673,3157
devices.updateDeviceLocation,,6721975,427884,3660
devices.updateDeviceLocation,,6721975,337930,2753
devices.updateDeviceLocation,,6721975,315187,2408
devices.updateDeviceLocation,,6721975,106159,1205
devices.updateDeviceLocation,,6721975,372762,3253
devices.updateDeviceLocation,,6721975,414880,4134
devices.updateDeviceLocation,,6721975,336760,3658
devices.updateDeviceLocation,,6721975,340373,3538
devices.updateDeviceLocation,,6721975,441408,3757
devices.updateDeviceLocation,,6721975,368554,3692
devices.updateDeviceLocation,,6721975,281048,2718
devices.updateDeviceLocation,,6721975,422521,4673
devices.updateDeviceLocation,,6721975,386446,3525
