action,attribute,txGas,blockGas,time
devices.updateDeviceLocation,,6721975,641929,4716
devices.updateDeviceLocation,,6721975,597305,2892
devices.updateDeviceLocation,,6721975,1183729,5894
devices.updateDeviceLocation,,6721975,1216747,5145
devices.updateDeviceLocation,,6721975,649427,3731
devices.updateDeviceLocation,,6721975,1410135,5393
devices.updateDeviceLocation,,6721975,910158,4967
devices.updateDeviceLocation,,6721975,470755,1383
devices.updateDeviceLocation,,6721975,1214106,5188
devices.updateDeviceLocation,,6721975,1382483,6842
devices.updateDeviceLocation,,6721975,1264720,6313
devices.updateDeviceLocation,,6721975,1282723,6220
devices.updateDeviceLocation,,6721975,1405617,5468
devices.updateDeviceLocation,,6721975,378288,1363
devices.updateDeviceLocation,,6721975,846884,3885
devices.updateDeviceLocation,,6721975,873393,3975
devices.updateDeviceLocation,,6721975,891354,4187
devices.updateDeviceLocation,,6721975,681947,3536
devices.updateDeviceLocation,,6721975,1083542,4194
devices.updateDeviceLocation,,6721975,1429765,5972
devices.updateDeviceLocation,,6721975,923856,4596
devices.updateDeviceLocation,,6721975,888755,4862
devices.updateDeviceLocation,,6721975,848688,3929
devices.updateDeviceLocation,,6721975,333677,1166
devices.updateDeviceLocation,,6721975,465681,2406
devices.updateDeviceLocation,,6721975,844613,3981
devices.updateDeviceLocation,,6721975,584446,2865
devices.updateDeviceLocation,,6721975,1260240,5951
devices.updateDeviceLocation,,6721975,1474231,6068
