action,attribute,txGas,blockGas,time
devices.updateDeviceLocation,,6721975,485798,4256
devices.updateDeviceLocation,,6721975,550792,4552
devices.updateDeviceLocation,,6721975,526259,5448
devices.updateDeviceLocation,,6721975,441111,4864
devices.updateDeviceLocation,,6721975,471441,4633
devices.updateDeviceLocation,,6721975,491125,4091
devices.updateDeviceLocation,,6721975,531196,4407
devices.updateDeviceLocation,,6721975,537189,5351
devices.updateDeviceLocation,,6721975,461281,4244
devices.updateDeviceLocation,,6721975,514267,4521
devices.updateDeviceLocation,,6721975,485917,5024
devices.updateDeviceLocation,,6721975,492881,4989
devices.updateDeviceLocation,,6721975,545590,4759
devices.updateDeviceLocation,,6721975,459214,5047
devices.updateDeviceLocation,,6721975,611676,6647
devices.updateDeviceLocation,,6721975,573346,4604
devices.updateDeviceLocation,,6721975,559899,4564
devices.updateDeviceLocation,,6721975,580079,4578
devices.updateDeviceLocation,,6721975,545558,3388
devices.updateDeviceLocation,,6721975,590465,5633
devices.updateDeviceLocation,,6721975,513329,4773
devices.updateDeviceLocation,,6721975,618792,4959
devices.updateDeviceLocation,,6721975,529938,5367
devices.updateDeviceLocation,,6721975,538802,5042
devices.updateDeviceLocation,,6721975,516534,5372
devices.updateDeviceLocation,,6721975,558851,4964
devices.updateDeviceLocation,,6721975,443753,3633
devices.updateDeviceLocation,,6721975,496846,5152
devices.updateDeviceLocation,,6721975,519799,5274
devices.updateDeviceLocation,,6721975,173749,1096
devices.updateDeviceLocation,,6721975,559646,4643
devices.updateDeviceLocation,,6721975,528609,4751
devices.updateDeviceLocation,,6721975,503553,4467
devices.updateDeviceLocation,,6721975,546500,4667
devices.updateDeviceLocation,,6721975,500764,4952
devices.updateDeviceLocation,,6721975,486575,4645
devices.updateDeviceLocation,,6721975,502497,5274
devices.updateDeviceLocation,,6721975,591412,4642
devices.updateDeviceLocation,,6721975,550789,6508
devices.updateDeviceLocation,,6721975,515216,4385
devices.updateDeviceLocation,,6721975,491679,4233
devices.updateDeviceLocation,,6721975,486794,5396
devices.updateDeviceLocation,,6721975,441782,3668
devices.updateDeviceLocation,,6721975,541132,4034
devices.updateDeviceLocation,,6721975,498066,4231
devices.updateDeviceLocation,,6721975,507985,5050
devices.updateDeviceLocation,,6721975,473366,4278
devices.updateDeviceLocation,,6721975,556181,5271
devices.updateDeviceLocation,,6721975,429009,3505
devices.updateDeviceLocation,,6721975,519893,3746
devices.updateDeviceLocation,,6721975,457422,4308
devices.updateDeviceLocation,,6721975,516974,4700
devices.updateDeviceLocation,,6721975,489177,4296
devices.updateDeviceLocation,,6721975,531104,4806
devices.updateDeviceLocation,,6721975,197267,1207
devices.updateDeviceLocation,,6721975,186851,1075
devices.updateDeviceLocation,,6721975,152541,1106
devices.updateDeviceLocation,,6721975,597581,5405
devices.updateDeviceLocation,,6721975,635036,5893
devices.updateDeviceLocation,,6721975,239316,1346
devices.updateDeviceLocation,,6721975,557040,3567
devices.updateDeviceLocation,,6721975,571941,4152
devices.updateDeviceLocation,,6721975,492822,4047
devices.updateDeviceLocation,,6721975,621543,5019
devices.updateDeviceLocation,,6721975,501766,4584
devices.updateDeviceLocation,,6721975,556642,6483
devices.updateDeviceLocation,,6721975,575166,7017
devices.updateDeviceLocation,,6721975,491704,4471
devices.updateDeviceLocation,,6721975,468275,4673
devices.updateDeviceLocation,,6721975,520315,4668
devices.updateDeviceLocation,,6721975,239449,1650
devices.updateDeviceLocation,,6721975,579666,3661
devices.updateDeviceLocation,,6721975,468477,4416
